"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"38","7607","17","11","11","2","798","0","0","0","0","0","0","0","0","0","555","0","0","0","0","0","0","0","0","0","0","0","0","406","0","81","0","422","0","0","86","0","2","444","15","3","6","79","95","422","91","431","221","300","263","247","79","429","223","285","69","456","73","450","116","401","141","365","403","0","96","0","417","85","424","88"
"38","7608","17","11","11","2","1416","0","0","0","0","0","0","0","0","0","1059","0","0","0","0","0","0","0","0","0","0","0","0","807","0","132","0","778","0","0","180","0","11","829","38","2","5","155","172","815","203","796","425","556","420","528","149","819","344","634","138","862","141","854","232","758","296","677","779","0","173","0","821","151","826","152"
"38","7609","17","11","11","2","1130","0","0","0","0","0","0","0","0","0","756","0","0","0","0","0","0","0","0","0","0","0","0","560","0","109","0","544","0","0","136","0","11","573","16","8","12","115","136","567","154","546","329","361","351","333","97","590","265","431","93","615","113","588","173","525","196","491","532","0","130","0","547","110","559","109"
"38","7611","17","11","11","2","626","0","0","0","0","0","0","0","0","0","492","0","0","0","0","0","0","0","0","0","0","0","0","399","0","53","0","391","0","0","66","0","3","426","13","1","5","40","63","392","92","373","202","256","219","221","62","384","176","280","36","434","52","412","103","357","106","346","398","0","63","0","407","48","416","44"
"38","7612","17","11","11","2","873","0","0","0","0","0","0","0","0","0","636","0","0","0","0","0","0","0","0","0","0","0","0","500","0","67","0","501","0","0","81","0","5","545","9","4","8","51","100","489","131","462","263","323","256","307","107","470","240","339","55","550","87","502","162","423","144","438","498","0","81","0","502","76","514","69"
"38","7613","17","11","11","2","874","0","0","0","0","0","0","0","0","0","721","0","0","0","0","0","0","0","0","0","0","0","0","531","0","99","0","487","0","0","168","0","13","548","15","2","4","122","175","488","190","472","340","312","292","331","121","514","218","435","117","562","143","525","233","422","222","421","512","0","132","0","522","111","522","113"
"38","7614","17","11","11","2","1117","0","0","0","0","0","0","0","0","0","583","0","0","0","0","0","0","0","0","0","0","0","0","393","0","98","0","388","0","0","125","0","4","398","16","5","13","130","98","430","108","429","203","320","245","260","68","449","226","295","112","420","87","445","115","417","183","340","368","0","134","0","364","129","376","134"
"38","7615","17","11","11","2","944","0","0","0","0","0","0","0","0","0","570","0","0","0","0","0","0","0","0","0","0","0","0","408","0","98","0","411","0","0","107","0","4","423","12","3","6","108","82","445","94","434","230","293","265","245","71","449","191","334","83","450","64","464","107","420","139","388","393","0","122","0","416","97","416","97"
"38","7616","17","11","11","2","659","0","0","0","0","0","0","0","0","0","496","0","0","0","0","0","0","0","0","0","0","0","0","375","0","71","0","355","0","0","95","0","5","388","7","2","12","78","75","385","103","366","228","233","214","238","70","384","179","278","54","412","76","384","127","334","119","336","357","0","86","0","367","78","373","78"
"38","7617","17","11","11","2","1062","0","0","0","0","0","0","0","0","0","633","0","0","0","0","0","0","0","0","0","0","0","0","463","0","98","0","464","0","0","118","0","11","459","16","3","10","116","126","454","145","439","293","277","235","320","111","456","264","316","88","493","93","490","173","403","158","415","443","0","124","0","467","109","465","115"
"38","7618","17","11","11","2","697","0","0","0","0","0","0","0","0","0","549","0","0","0","0","0","0","0","0","0","0","0","0","379","0","89","0","358","0","0","126","0","7","421","8","4","5","89","103","398","152","351","271","230","214","269","76","399","144","361","91","418","96","407","155","337","170","322","363","0","115","0","392","98","398","96"
"38","7619","17","11","11","2","686","0","0","0","0","0","0","0","0","0","569","0","0","0","0","0","0","0","0","0","0","0","0","432","0","90","0","415","0","0","111","0","7","450","6","5","4","84","144","375","201","313","339","178","240","261","123","383","127","395","81","447","120","409","216","301","199","304","408","0","110","0","432","90","426","93"
"38","7621","17","11","11","2","855","0","0","0","0","0","0","0","0","0","574","0","0","0","0","0","0","0","0","0","0","0","0","417","0","80","0","406","0","0","110","0","6","445","14","1","6","88","91","433","148","381","240","280","183","315","93","419","145","371","90","446","76","452","134","383","172","339","399","0","109","0","417","87","423","84"
"38","7622","17","11","11","2","1077","0","0","0","0","0","0","0","0","0","919","0","0","0","0","0","0","0","0","0","0","0","0","733","0","104","0","729","0","0","135","0","4","799","11","4","1","72","199","658","305","551","592","246","370","422","225","598","241","590","81","796","177","689","369","480","269","572","729","0","121","0","778","99","780","97"
"38","7623","17","11","11","2","673","0","0","0","0","0","0","0","0","0","422","0","0","0","0","0","0","0","0","0","0","0","0","296","0","65","0","300","0","0","75","0","3","313","11","0","3","80","68","312","57","321","152","228","151","212","41","319","129","234","65","311","44","334","73","302","111","251","289","0","81","0","295","75","305","72"
"38","7624","17","11","11","2","842","0","0","0","0","0","0","0","0","0","554","0","0","0","0","0","0","0","0","0","0","0","0","418","0","71","0","386","0","0","104","0","12","434","9","2","8","73","67","449","93","432","209","305","208","284","61","447","152","367","104","419","66","454","110","407","165","345","395","0","98","0","401","83","404","86"
